Rk;Player;Pos;Age;Tm;
436;Dereon Seabron;SG;22;19;
437;Alperen �eng�n;C;20;11;
438;Collin Sexton;SG;24;29;
439;Landry Shamet;SG;25;24;
440;Day'Ron Sharpe;C;21;3;
441;Shaedon Sharpe;SG;19;25;
442;Pascal Siakam;C;28;28;
443;Chris Silva;PF;26;7;
444;Ben Simmons;PG;26;3;
445;Kobi Simmons;PG;25;4;
446;Marko Simonovic;C;23;5;
447;Anfernee Simons;SG;23;25;
448;Jericho Sims;C;24;20;
449;Marcus Smart;PG;28;2;
450;Dennis Smith Jr.;PG;25;4;
451;Dru Smith;SG;25;0;
451;Dru Smith;SG;25;16;
451;Dru Smith;SG;25;3;
452;Ish Smith;PG;34;8;
453;Jabari Smith Jr.;PF;19;11;
454;Jalen Smith;PF;22;12;
455;Xavier Sneed;SF;25;4;
456;Jeremy Sochan;PF;19;27;
457;Jaden Springer;SG;20;23;
458;Lamar Stevens;PF;25;6;
459;Isaiah Stewart;C;21;9;
460;Max Strus;SF;26;16;
461;Jalen Suggs;PG;21;22;
462;Edmond Sumner;SG;27;3;
463;Cole Swider;SF;23;14;
464;Jae'Sean Tate;SF;27;11;
465;Jayson Tatum;PF;24;2;
466;Terry Taylor;PF;23;0;
466;Terry Taylor;PF;23;12;
466;Terry Taylor;PF;23;5;
467;Garrett Temple;SG;36;19;
468;Dalen Terry;SG;20;5;
469;Daniel Theis;C;30;12;
470;Cam Thomas;SG;21;3;
471;Klay Thompson;SG;32;10;
472;JT Thor;PF;20;4;
473;Matisse Thybulle;SG;25;0;
473;Matisse Thybulle;SG;25;23;
473;Matisse Thybulle;SG;25;25;
474;Xavier Tillman Sr.;PF;24;15;
475;Isaiah Todd;PF;21;30;
476;Obi Toppin;PF;24;20;
477;Juan Toscano-Anderson;SF;29;0;
477;Juan Toscano-Anderson;SF;29;14;
477;Juan Toscano-Anderson;SF;29;29;
478;Karl-Anthony Towns;PF;27;18;
479;Gary Trent Jr.;SG;24;28;
480;P.J. Tucker;PF;37;23;
481;Myles Turner;C;26;12;
482;Stanley Umude;SG;23;9;
483;Jonas Valan?i?nas;C;30;19;
484;Jarred Vanderbilt;PF;23;0;
484;Jarred Vanderbilt;PF;23;29;
484;Jarred Vanderbilt;PF;23;14;
485;Fred VanVleet;PG;28;28;
486;Devin Vassell;SG;22;27;
487;Gabe Vincent;PG;26;16;
488;Noah Vonleh;C;27;2;
489;Nikola Vu?evi?;C;32;5;
490;Dean Wade;PF;26;6;
491;Franz Wagner;SF;21;22;
492;Moritz Wagner;C;25;22;
493;Ish Wainright;SF;28;24;
494;Jabari Walker;SF;20;25;
495;Kemba Walker;PG;32;7;
496;Lonnie Walker IV;SG;24;14;
497;John Wall;PG;32;13;
498;T.J. Warren;PF-SF;29;0;
498;T.J. Warren;PF;29;3;
498;T.J. Warren;SF;29;24;
499;Duane Washington Jr.;SG;22;24;
500;P.J. Washington;PF;24;4;
501;TyTy Washington Jr.;PG;21;11;
502;Yuta Watanabe;SF;28;3;
503;Lindy Waters III;SG;25;21;
