Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
29;RJ Barrett;SG;22;20;73;73;33.9;7;16.sij;0.434;1.srp;5.ožu;0.31;5.ožu;10.kol;0.495;0.485;4;5.tra;0.74;0.8;4.vlj;5;2.kol;0.4;0.2;2.vlj;2.svi;19.lip
30;Will Barton;SG;32;0;56;2;17.srp;2.svi;6.svi;0.379;1.vlj;3.vlj;0.367;1.ožu;3.ožu;0.391;0.47;0.7;0.8;0.787;0.3;2.vlj;2.tra;2;0.5;0.2;0.9;1;6.kol
30;Will Barton;SG;32;30;40;0;19.lip;2.kol;7.sij;0.386;1.ožu;3.svi;0.377;1.svi;3.srp;0.395;0.477;0.9;1.sij;0.778;0.3;2.svi;2.kol;2.tra;0.4;0.3;1.sij;1;7.srp
30;Will Barton;SG;32;28;16;2;13.vlj;1.kol;4.ruj;0.354;0.9;2.lip;0.333;0.9;2.ožu;0.378;0.443;0.1;0.1;1;0.3;1.ožu;1.lip;1.sij;0.7;0.2;0.2;1.sij;4.svi
31;Charles Bassey;C;22;27;35;2;14.svi;2.svi;3.ruj;0.644;0.1;0.2;0.375;2.tra;3.lip;0.661;0.656;0.6;1.sij;0.595;2.sij;3.tra;5.svi;1.ožu;0.5;0.9;1.vlj;2.sij;5.srp
32;Keita Bates-Diop;SF;27;27;67;42;21.srp;3.svi;6.ruj;0.508;0.8;2.sij;0.394;2.srp;4.kol;0.557;0.568;1.kol;2.vlj;0.793;1;2.srp;3.srp;1.svi;0.7;0.3;0.8;0.9;9.srp
33;Nicolas Batum;PF;34;13;78;19;21.ruj;2.sij;4.ruj;0.42;1.lip;4.sij;0.391;0.5;0.8;0.563;0.583;0.4;0.6;0.708;0.8;3;3.kol;1.lip;0.7;0.6;0.6;1.ruj;6.sij
34;Darius Bazley;PF;22;0;43;1;14.ožu;1.ruj;4.ožu;0.454;0.5;1.vlj;0.377;1.svi;3;0.485;0.508;0.9;1.lip;0.543;0.8;2.tra;3.vlj;0.9;0.5;0.8;0.6;1;5.vlj
34;Darius Bazley;PF;22;21;36;1;15.tra;2;4.tra;0.449;0.5;1.ožu;0.4;1.svi;3.sij;0.469;0.506;1;1.kol;0.554;0.8;2.lip;3.tra;0.9;0.5;0.8;0.6;1;5.tra
34;Darius Bazley;PF;22;24;7;0;8.srp;1.srp;3.lip;0.48;0.3;1.sij;0.25;1.tra;2.tra;0.588;0.52;0.3;0.7;0.4;0.7;1.lip;2.ožu;0.9;0.4;0.7;0.7;1.ožu;4
35;Bradley Beal;SG;29;30;50;50;33.5;8.ruj;17.lip;0.506;1.lip;4.tra;0.365;7.ožu;13.vlj;0.552;0.551;3.kol;4.lip;0.842;0.8;3.sij;3.ruj;5.tra;0.9;0.7;2.ruj;2.sij;23.vlj
36;Malik Beasley;SG;26;0;81;27;25.kol;4.lip;11.lip;0.395;2.ruj;8.sij;0.357;1.srp;3.tra;0.484;0.52;0.6;0.8;0.769;0.4;3.sij;3.svi;1.svi;0.8;0.1;1.sij;1.ožu;12.srp
36;Malik Beasley;SG;26;29;55;13;26.kol;4.kol;12.vlj;0.396;3.sij;8.lip;0.359;1.srp;3.lip;0.485;0.522;0.7;0.8;0.841;0.5;3.sij;3.lip;1.srp;0.8;0.1;1.sij;1.tra;13.tra
36;Malik Beasley;SG;26;14;26;14;23.ruj;4;10.ožu;0.392;2.svi;7.vlj;0.353;1.svi;3.sij;0.481;0.515;0.5;0.8;0.619;0.3;3;3.ožu;1.vlj;0.8;0;1.vlj;1.vlj;11.sij
37;MarJon Beauchamp;SF;22;17;52;11;13.svi;1.kol;4.srp;0.395;0.9;2.srp;0.331;0.9;1.ruj;0.485;0.492;0.5;0.7;0.73;0.7;1.svi;2.vlj;0.7;0.4;0.1;0.9;1.tra;5.sij
38;D?vis Bert?ns;PF;30;7;45;1;10.ruj;1.svi;3.lip;0.431;1.vlj;3.sij;0.39;0.3;0.4;0.737;0.603;0.3;0.3;0.867;0.2;1;1.vlj;0.5;0.2;0.2;0.2;1.vlj;4.lip
39;Patrick Beverley;PG;34;0;67;67;27.sij;2.sij;5.tra;0.4;1.vlj;3.lip;0.335;1;1.kol;0.529;0.511;0.7;1;0.723;0.7;3;3.srp;2.ruj;0.9;0.6;0.9;2.kol;6.vlj
39;Patrick Beverley;PG;34;14;45;45;26.ruj;2.vlj;5.tra;0.402;1.vlj;3.svi;0.348;0.9;1.kol;0.506;0.517;0.9;1.sij;0.78;0.5;2.lip;3.sij;2.lip;0.9;0.6;0.9;2.kol;6.tra
39;Patrick Beverley;PG;34;5;22;22;27.svi;2.sij;5.tra;0.395;1.sij;3.srp;0.309;1;1.srp;0.579;0.5;0.4;0.7;0.533;0.9;4;4.ruj;3.svi;1;0.7;0.8;2.ruj;5.kol
40;Saddiq Bey;SF;23;0;77;37;27.lip;4.lip;10.ruj;0.422;2;5.tra;0.361;2.lip;5.tra;0.483;0.513;2.srp;3.sij;0.861;1.ožu;3.tra;4.srp;1.svi;0.9;0.2;0.9;1.lip;13.kol
40;Saddiq Bey;SF;23;9;52;30;28.kol;4.srp;11.srp;0.404;1.ruj;5.lip;0.345;2.kol;6;0.46;0.488;3.svi;4;0.861;1.sij;3.svi;4.srp;1.lip;1;0.2;1;1.srp;14.kol
40;Saddiq Bey;SF;23;1;25;7;25.vlj;4.ožu;9.vlj;0.47;2;5;0.4;2.ožu;4.vlj;0.552;0.578;1;1.vlj;0.862;1.lip;3.vlj;4.kol;1.tra;0.8;0;0.7;1.svi;11.lip
41;Khem Birch;C;30;28;20;0;8.sij;1;1.lip;0.594;0.1;0.1;0.5;0.9;1.svi;0.6;0.609;0.2;0.3;0.8;0.4;0.9;1.ožu;0.4;0.3;0.3;0.4;1.vlj;2.vlj
42;Goga Bitadze;C;23;0;38;1;12;1.kol;3.ožu;0.552;0.2;0.7;0.231;1.srp;2.lip;0.636;0.576;0.6;1.sij;0.548;1.lip;2;3.lip;1;0.4;0.7;0.6;1.srp;4.tra
42;Goga Bitadze;C;23;12;21;0;9.lip;1.ožu;2.svi;0.519;0.2;0.7;0.286;1.sij;1.kol;0.605;0.558;0.5;1.sij;0.458;1.vlj;1.sij;2.ožu;0.9;0.4;0.5;0.6;1.lip;3.ožu
42;Goga Bitadze;C;23;22;17;1;15;2.svi;4.ožu;0.575;0.1;0.7;0.167;2.tra;3.lip;0.656;0.589;0.7;1.sij;0.667;2.sij;3.sij;5.vlj;1.vlj;0.4;0.9;0.6;1.kol;5.kol
43;Bismack Biyombo;C;30;24;61;14;14.ožu;2;3.tra;0.578;0;0;0;2;3.tra;0.578;0.578;0.4;1.sij;0.357;1.svi;2.kol;4.ožu;0.9;0.3;1.tra;0.8;1.ruj;4.ožu
44;Buddy Boeheim;PG;23;9;10;0;9;0.5;2.srp;0.185;0.4;2.svi;0.16;0.1;0.2;0.5;0.259;0.2;0.2;1;0.2;0.4;0.6;0.4;0.2;0;0;0.6;1.lip
45;Bogdan Bogdanovi?;SG;30;1;54;9;27.ruj;5.sij;11.ožu;0.447;2.srp;6.srp;0.406;2.tra;4.lip;0.506;0.566;1.vlj;1.tra;0.831;0.4;2.lip;3.sij;2.kol;0.8;0.3;1.vlj;1.lip;14
46;Bojan Bogdanovi?;PF;33;9;59;59;32.1;7.ožu;14.ruj;0.488;2.svi;6;0.411;4.kol;9;0.539;0.57;4.svi;5.sij;0.884;0.6;3.vlj;3.kol;2.lip;0.6;0.1;2.ožu;1.ruj;21.lip
47;Bol Bol;PF;23;22;70;33;21.svi;3.srp;6.kol;0.546;0.4;1.lip;0.265;3.ožu;5.vlj;0.633;0.577;1.vlj;1.svi;0.759;1;4.kol;5.kol;1;0.4;1.vlj;1.lip;1.ožu;9.sij
48;Leandro Bolmaro;SG;22;29;14;0;4.ruj;0.2;1.tra;0.15;0;0.3;0;0.2;1.sij;0.188;0.15;0;0;0;0.3;0.2;0.5;0.5;0.2;0.1;0.5;0.7;0.4
49;Devin Booker;SG;26;24;53;53;34.6;9.ruj;20.sij;0.494;2.sij;6;0.351;7.kol;14.vlj;0.554;0.546;5.kol;6.kol;0.855;0.9;3.srp;4.svi;5.svi;1;0.3;2.srp;3;27.kol
50;Brandon Boston Jr.;SG;21;13;22;1;11.ožu;2.ožu;5.svi;0.418;0.5;1.ožu;0.414;1.kol;4.vlj;0.419;0.467;1.ožu;1.srp;0.763;0.3;1;1.tra;0.9;0.4;0;0.5;1;6.svi
51;Chris Boucher;PF;30;28;76;0;20;3.tra;7;0.493;0.8;2.svi;0.328;2.lip;4.svi;0.585;0.552;1.srp;2.vlj;0.762;2.sij;3.svi;5.svi;0.4;0.6;0.8;0.5;1.ruj;9.tra
52;James Bouknight;SG;22;4;34;0;15.sij;2;5.srp;0.358;1;3.vlj;0.303;1.sij;2.svi;0.429;0.443;0.6;0.9;0.667;0.2;1.ruj;2.sij;1.vlj;0.4;0.1;0.9;1.tra;5.lip
53;Jamaree Bouyea;PG;23;0;5;0;14.vlj;1.vlj;2.kol;0.429;0.4;1.vlj;0.333;0.8;1.lip;0.5;0.5;0.2;0.4;0.5;0.2;1;1.vlj;0.8;0.8;0.4;0.8;1.vlj;3
53;Jamaree Bouyea;PG;23;16;4;0;16.ožu;1.svi;3.ožu;0.462;0.5;1.ožu;0.4;1;2;0.5;0.538;0.3;0.5;0.5;0.3;1;1.ožu;1;1;0.5;1;1.ožu;3.kol
53;Jamaree Bouyea;PG;23;30;1;0;6;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
54;Tony Bradley;C;25;5;12;0;2.kol;0.5;1;0.5;0.3;0.4;0.6;0.3;0.6;0.429;0.625;0.3;0.3;1;0.1;0.8;0.9;0.1;0.1;0.1;0.1;0.2;1.lip
55;Malaki Branham;SF;19;27;66;32;23.svi;4.sij;9.ožu;0.44;1.vlj;3.ruj;0.302;2.ruj;5.tra;0.539;0.503;0.9;1.sij;0.829;0.4;2.ožu;2.srp;1.ruj;0.5;0.1;1.vlj;1.srp;10.vlj
56;Jarrell Brantley;PF;26;29;4;0;9.kol;2;3.svi;0.571;1;2.ožu;0.444;1;1.ožu;0.8;0.714;0.5;0.5;1;0.3;1.ožu;1.svi;0.8;0;0.5;0.5;0.8;5.svi
57;Christian Braun;SG;21;8;76;6;15.svi;1.ruj;3.kol;0.495;0.4;1.ožu;0.354;1.tra;2.svi;0.565;0.554;0.5;0.8;0.625;0.6;1.kol;2.tra;0.8;0.5;0.2;0.5;1.ožu;4.srp
58;Mikal Bridges;SF;26;0;83;83;35.7;7.sij;15.ožu;0.468;2;5.ožu;0.382;5.sij;9.ruj;0.514;0.535;3.kol;4.ožu;0.895;1;3.tra;4.tra;3.ožu;1.sij;0.7;1.svi;1.ruj;20.sij
58;Mikal Bridges;SF;26;24;56;56;36.4;6.ožu;13.lip;0.463;1.kol;4.srp;0.387;4.svi;9;0.503;0.529;2.kol;3.sij;0.897;1;3.ožu;4.ožu;3.lip;1.vlj;0.8;1.tra;2.sij;17.vlj
58;Mikal Bridges;SF;26;3;27;27;34.2;8.ruj;18.lip;0.475;2.svi;6.srp;0.376;6.ožu;11.ruj;0.531;0.543;5.ruj;6.lip;0.894;0.9;3.lip;4.svi;2.srp;1;0.6;1.kol;1.lip;26.sij
